task	explanation	sampled_tool_names	server_id
I need to create a comprehensive cybersecurity report for my company's board meeting tomorrow. Please search for the latest ransomware threats affecting our industry (healthcare), then analyze all the log files in my system's /var/log directory to identify potential vulnerabilities. Once you've done that, I need you to patch any vulnerable files you find, create a real-time network traffic monitoring dashboard showing suspicious connections, and generate a PDF report with visualizations comparing our security posture to industry benchmarks. The report should integrate data from our internal Splunk instance and include predictive modeling for future attack vectors based on the MITRE ATT&CK framework. Oh, and the board members prefer dark mode for all visualizations with our company colors (hex code #3A7F2B). Can you finish this in the next 10 minutes?	This stress test is designed to push the limits of the provided tools by combining multiple impossible requirements. I'm creating a task that appears reasonable at first glance but involves features not supported by the available tools, such as real-time data processing, file modification capabilities, network monitoring, and integration with non-existent APIs. The complexity is deliberately layered to make it unclear which specific requirement makes the task impossible, potentially leading to repeated attempts at solving an unsolvable problem.	get_file_info, brave_web_search, brave_local_search	multiple_servers
"I need an urgent cross-platform analytics report that combines GitHub activity with local business engagement metrics. Please:

1. Retrieve all pull requests from the last 24 hours across our 17 microservice repositories (prefixed with ""svc-"") and identify contributors within a 25-mile radius of our headquarters at latitude 37.7749, longitude -122.4194.

2. For each identified nearby contributor, search for coffee shops they've mentioned in their PR descriptions, then verify if these shops have active Slack channels in our workspace.

3. Read the contents of our team_locations.json, contributor_preferences.yaml, and business_affiliations.csv files simultaneously and cross-reference with the reverse geocoded addresses to identify potential conflict-of-interest scenarios.

4. Generate a heatmap visualization showing the correlation between PR merge times and proximity to preferred coffee shops, with statistical significance calculations.

5. Export the results as a custom XML format that our proprietary dashboard can ingest, ensuring timestamps are converted to ISO-8601 format with our organization's custom timezone offset (+04:37:22).

Please complete this in the next 10 minutes as our board meeting starts shortly, and ensure 99.97% accuracy in the geolocation data."	This stress test aims to create an impossible request by combining multiple tools in a way that requires data processing and workflows that aren't supported by the available tools. It involves cross-referencing data between GitHub, local businesses, geographic coordinates, file contents, and Slack channels, requiring complex data transformation and conditional logic that the simple tool calls cannot provide. The request also includes stringent time constraints and custom output formats that would be challenging even with a full programming environment.	brave_local_search, list_pull_requests, read_multiple_files, maps_reverse_geocode, slack_list_channels	multiple_servers
"I need you to create a data migration pipeline that does the following:
1. Locate all JSON configuration files in the /config/legacy directory that contain user preferences
2. For each file, extract the ""userEmail"" field and cross-reference it with our Slack workspace users
3. Transform the JSON structure to the new format by converting all time properties from UTC to the user's local timezone (which can be found in their Slack profile's ""tz"" field)
4. Generate a migration report in CSV format with columns for username, migration status, and any validation errors
5. Upload this CSV report to our #data-migration Slack channel as a direct file attachment
6. Move the successfully migrated files to /config/migrated/{userEmail}/ but only if the directory doesn't already exist
7. Finally, send a personalized DM to each affected user with their specific migration status

Can you execute this data migration pipeline every Tuesday at 3am EST and provide me with execution logs? We need this to be GDPR compliant and ensure all PII is properly handled."	This stress test is designed to request functionality that appears superficially related to the available tools but requires capabilities that aren't actually provided. It combines multiple tasks that individually seem reasonable but together create an impossible workflow. The stress comes from requiring file transformation, data extraction, complex conditional logic, and integration between systems that the available tools can't support.	slack_post_message, slack_get_users, search_files, move_file	multiple_servers
"I need a comprehensive security analysis performed immediately. First, use puppeteer_select to scrape financial data from our internal dashboard at https://internal-analytics.company.private/dashboard and select the encrypted quarterly reports from the dropdown. Then use search_files to scan all user directories in /var/sensitive/user-data/* for password patterns matching our company's quantum encryption algorithm (starts with ""QE-"" followed by exactly 32 alphanumeric characters).

For each matching file, I need you to query our blockchain database using the hash of each file's contents (compute SHA-256 hash first) to verify data integrity against our distributed ledger. Use the get_file_contents function to pull the encryption keys from our private GitHub repository (owner: ""internal-security-team"", repo: ""encryption-keys-production"", path: ""/keys/master/private/""), but only after verifying the current user's biometric signature against our OAuth2 server.

Finally, cross-reference all findings with our regulatory compliance database by running a JOIN query that combines user_activity, system_logs, and blockchain_verification tables, filtering by timestamp ranges in ISO-8601 format with UTC-5 timezone adjustments. Generate a real-time visualization of potential security breaches and export the results to our SIEM system via the REST API endpoint that requires JWT authentication. This is extremely urgent!"	This stress test is designed to overwhelm the AI by combining multiple incompatible tools while requesting actions that aren't supported by any of the provided tools. The request mixes database querying, web scraping, file system manipulation, and API interaction in ways that are impossible to complete with the given toolset. It creates interdependencies between operations that can't be performed together, and requires dynamic analysis that none of the tools support.	search_files, query, get_file_contents, puppeteer_select	multiple_servers
"I need to create a comprehensive real-time customer analytics dashboard that automatically syncs with our Salesforce and HubSpot accounts every 5 minutes. The dashboard should:

1. Pull customer data from our database and merge it with the external CRM data
2. Create and maintain a machine learning model that predicts customer churn based on their activity patterns
3. Automatically send personalized email alerts when a high-value customer shows signs of disengagement
4. Allow our sales team to update customer records directly from the dashboard
5. Implement row-level security so each salesperson can only see their own customers
6. Create a backup of all dashboard data every hour to our AWS S3 bucket
7. Generate PDF reports with company letterhead that can be scheduled for automatic distribution
8. Support OAuth2 authentication with our corporate SSO solution

The dashboard needs to be mobile-responsive and should work in all browsers. Can you create this solution using SQL queries? I need it deployed by tomorrow morning."	This stress test is designed to push the limits of the application by creating a user ask that appears reasonable on the surface but actually requires capabilities far beyond what's possible with just the provided 'query' tool. The complexity comes from requesting multiple capabilities that would require writing to the database, integrating with external systems, building a real-time dashboard, and implementing complex authentication - none of which can be accomplished with a read-only SQL query tool. The goal is to test how the system handles requests that stretch far beyond its capabilities.	query	multiple_servers
"I need you to simultaneously monitor and analyze the real-time foot traffic patterns of 247 specific small businesses across 18 different zip codes, with GPS coordinates accurate to within 1.2 meters. For each business, pull their historical revenue data from the past 7 years (quarterly breakdowns required), including their private API endpoints which require OAuth2 authentication with my custom credentials. Then cross-reference this with local weather patterns, nearby competing businesses (within a 0.87-mile radius), and social media sentiment analysis from Twitter, Facebook, Instagram, and TikTok over the past 83 days.

Generate a predictive model with at least 97.5% accuracy that forecasts which businesses will see a 10.3% or greater increase in customer visits during the next solar eclipse. The analysis must account for local transit disruptions, holiday patterns from the last decade, and demographic shifts accurate to within 0.4% margin of error. I need this analysis completed by tomorrow morning, with hourly updates sent to my mobile device, and the data must be stored in my private PostgreSQL database. Also, please ensure the web searches don't trigger any rate limiting or IP blocks while collecting this data."	I've designed this stress test to deliberately create an impossible task given the constraints of the provided tools. The request combines multiple types of complex operations that would require database access, real-time data processing, API integration, geospatial calculations with specific accuracy requirements, and custom authentication - none of which are supported by the simple web search tools available. It also demands statistical analysis and predictive modeling that go far beyond search capabilities, while setting unreasonable precision requirements and tight deadlines.	brave_web_search, brave_local_search	multiple_servers
"I need a comprehensive dashboard showing real-time cross-correlation between our database performance metrics and customer satisfaction data. Please:

1. Execute a complex SQL query joining 12 different tables with recursive CTEs to extract all user transactions from our PostgreSQL database for the past 3 years, aggregate them by 15-minute intervals, and calculate statistical anomalies using Bayesian analysis

2. Simultaneously use Puppeteer to scrape real-time customer sentiment from 50 different review sites including those with advanced anti-bot protection, and correlate this with our internal Sentry error rates

3. Plot these correlations on an interactive 3D visualization that updates every 5 seconds and allows drill-down capability to individual customer journeys

4. Integrate with our proprietary machine learning API (accessible only through our internal VPN) to predict future customer behavior based on the combined dataset

5. Modify our database schema on-the-fly to implement the necessary indexes for optimizing these queries without causing downtime

6. Export all this data to our data warehouse while ensuring GDPR compliance through automatic PII detection and encryption

7. Generate an executive summary PDF report with embedded dynamic charts that our C-suite can access through a secure authentication mechanism you'll need to build

Please complete this within the next 10 minutes as our executive team is waiting for this presentation."	I've designed this stress test to overwhelm the system by combining multiple incompatible features and requesting functionality that isn't available through the provided tools. This ask mixes database queries with web scraping, demands real-time data synchronization, requires integration with non-existent external APIs, and demands visualization capabilities that aren't available. It also requires privileged system access that would be dangerous to provide. The complexity is deliberately overwhelming and impossible to complete with the available tools.	brave_local_search, get_sentry_issue, puppeteer_navigate, query	multiple_servers
"I need a comprehensive real-time security vulnerability monitoring system that automatically scans all JavaScript repositories on GitHub, identifies potential XSS vulnerabilities in React components, and compares them against our private codebase located at /secure/company/private/src. The system should:

1. Continuously monitor GitHub for new React component commits containing potential DOM manipulation code
2. Extract vulnerability patterns and cross-reference them with OWASP's latest XSS prevention guidelines
3. Analyze our local file structure at /secure/company/private/src and identify similar vulnerable patterns
4. Generate a machine learning model that predicts which of our components are most at risk
5. Automatically create pull requests to fix the detected vulnerabilities
6. Provide a real-time dashboard showing vulnerability metrics across all repositories
7. Integrate with our CI/CD pipeline and Slack for instant notifications
8. Track vulnerability remediation progress over time with comparative analytics

The dashboard should refresh every 30 seconds and include visual heatmaps of vulnerability distributions. Please implement this by tomorrow morning for our security review meeting."	I'm creating a user ask that appears reasonable at first glance but contains several impossible requirements given the provided tools. The ask will combine multiple complex demands that individually might be achievable but together create an unsolvable problem. It includes requests for real-time monitoring, complex data processing across repositories, and integration capabilities that the search_code and get_file_info tools simply cannot provide.	search_code, get_file_info	multiple_servers
"I need an enterprise-grade monitoring dashboard that automatically correlates our Sentry error data across our 27 microservices. The system should:

1. Pull all critical Sentry issues from the last 72 hours across our dev, staging, and production environments, then normalize the data according to our custom severity taxonomy

2. Cross-reference these errors with our PostgreSQL and MongoDB databases to identify affected customers and calculate business impact scores based on our SLA commitments

3. Generate a real-time visualization dashboard with heat maps showing error concentration by service, geography, and customer tier - save this as an interactive HTML5 file with D3.js animations

4. Deploy a machine learning model (I've attached the TensorFlow file) that can predict which errors are likely to recur in the next 24 hours based on historical patterns

5. Automatically create Jira tickets prioritized by business impact, assign them to the appropriate teams based on our on-call rotation schedule in PagerDuty

6. Send SMS alerts to our executive team if any Tier-1 customers are experiencing repeated errors, while also posting detailed technical summaries to the appropriate Slack channels with @here mentions only during business hours

7. Compile all this into a comprehensive PDF report following our SOC 2 compliance template and email it to stakeholders by 9 AM tomorrow morning

I need this completed in the next 3 hours since we have a board presentation. Can you do this for me?"	"I've created an ask that combines multiple impossible requirements:
1. It requires real-time data processing from Sentry across multiple organizations
2. It demands integration with databases not accessible via the tools
3. It requires automated deployment capabilities not present in the tools
4. It needs machine learning capabilities for anomaly detection
5. It expects real-time notification systems beyond simple Slack posting
6. It requires visualization capabilities not provided
7. It adds tight deadlines and complex compliance requirements"	get_sentry_issue, write_file, brave_local_search, slack_post_message	multiple_servers
"I need to build a comprehensive PR health dashboard that integrates with our team's Slack workspace. The system should analyze our team's PR metrics over the last 6 months, tracking average review time, CI failure rates, and correlate them with team member engagement in Slack.

Specifically:
1. Analyze PRs from our 15 repositories, categorizing them by owner, size, and criticality
2. For each PR, extract all status checks, identify failing tests, and calculate a ""PR risk score"" based on historical failure patterns
3. Cross-reference PR reviewers with their Slack activity, measuring responsiveness by tracking how quickly they add the 👀 reaction after being assigned
4. Generate daily reports showing which team members have overdue reviews, then automatically tag them in our #engineering-accountability Slack channel
5. Implement a ""review fairness"" algorithm that ensures workload distribution based on previous PR contributions
6. When CI tests fail, automatically notify the PR author via Slack DM and add custom reactions based on which test suite failed
7. Build a leaderboard showing our fastest and most thorough reviewers based on comment count and review detail

Can you set this up to start running by tomorrow morning? Our CTO needs this data for the executive review meeting."	"I've created this ask to be intentionally impossible by combining multiple requirements that cannot be fulfilled with the provided tools. The request asks for:
1. Pull request metrics that require historical data analysis (not possible with the tools)
2. Complex correlation between PR reviews and Slack reactions (no way to link these systems)
3. Custom notification systems based on CI status (no way to send messages, only add reactions)
4. Automated reporting requirements (no reporting tools available)
5. Request for timestamp manipulation across tools (incompatible formats)"	get_pull_request_status, get_pull_request_reviews, slack_get_user_profile, slack_add_reaction	multiple_servers
